path	june	july
A/1409	5892	6976
A/141	5868	6952
A/1410	5894	6978
A/1411	5896	6980
A/1412	5894	6978
A/1413	5894	6978
A/1414	5896	6980
A/1415	5894	6978
A/1416	5892	6976
A/1417	5896	6980
A/1418	5892	6976
A/1419	5894	6978
A/142	5868	6952
A/1420	5894	6978
A/1421	5919	7003
A/1422	5919	7003
A/1423	5920	7004
A/1424	5923	7007
A/1425	5921	7005
A/1426	5919	7003
A/1427	5925	7009
A/1428	5921	7005
A/1429	5922	7006
A/143	5868	6952
A/1430	5905	6989
A/1431	5925	7009
A/1432	5923	7007
A/1433	5923	7007
A/1434	5925	7009
A/1435	5923	7007
A/1436	5921	6972
A/1437	5925	7009
A/1438	5921	7005
A/1439	5923	7007
A/144	5872	6956
A/1440	5900	6984
A/1441	5925	7009
A/1442	5925	7009
A/1443	5925	7009
A/1444	5929	7013
A/1445	5927	7011
A/1446	5925	7009
A/1447	5931	7015
A/1448	5927	7011
A/1449	5927	7011
A/145	5870	6954
A/1450	5913	6997
A/1451	5932	7016
A/1452	5929	7013
A/1453	5930	7014
A/1454	5931	7015
A/1455	5930	7014
A/1456	5928	7012
A/1457	5931	7015
A/1458	5927	7011
A/1459	5929	7013
A/146	5868	6952
A/1460	5900	6984
A/1461	5925	7009
A/1462	5925	7009
A/1463	5925	7009
A/1464	5929	7013
A/1465	5927	7011
A/1466	5925	7009
A/1467	5931	7015
A/1468	5927	7011
A/1469	5927	7011
A/147	5874	6958
A/1470	5913	6997
A/1471	5931	7015
A/1472	5929	7013
A/1473	5929	7013
A/1474	5931	7015
A/1475	5930	7014
A/1476	5927	7011
A/1477	5931	7015
A/1478	5927	7011
A/1479	5929	7013
A/148	5870	6954
A/1480	5904	6988
A/1481	5929	7013
A/1482	5929	7013
A/1483	5929	7013
A/1484	5933	7017
A/1485	5931	7015
A/1486	5929	7013
A/1487	5936	7020
A/1488	5931	7015
A/1489	5931	7015
A/149	5870	6954
A/1490	5916	7000
A/1491	5935	7019
A/1492	5933	7017
A/1493	5933	7017
A/1494	5935	7019
A/1495	5933	7017
A/1496	5931	7015
A/1497	5936	7020
A/1498	5931	7015
A/1499	5933	7017
A/14_(ахыҧхьаӡара)	26903	6546
A/14_(ахыԥхьаӡара)	26903	6546
A/15	7595	8934
A/150	5856	6940
A/1500	5859	6943
A/1501	5887	6971
A/1502	5888	6972
A/1503	5887	6971
A/1504	5891	6975
A/1505	5889	6973
A/1506	5887	6971
A/1507	5893	6977
A/1508	5889	6973
A/1509	5889	6973
A/151	5874	6958
A/1510	5891	6975
A/1511	5893	6977
A/1512	5891	6975
A/1513	5891	6975
A/1514	5893	6977
A/1515	5891	6975
A/1516	5889	6973
A/1517	5893	6977
A/1518	5889	6973
A/1519	5891	6975
A/152	5872	6956
A/1520	5891	6975
A/1521	5916	7000
A/1522	5916	7000
A/1523	5916	7000
A/1524	5920	7004
A/1525	5918	7002
A/1526	5916	7000
A/1527	5922	7006
A/1528	5918	7002
A/1529	5918	7002
A/153	5872	6956
A/1530	5903	6987
A/1531	5922	7006
A/1532	5920	7004
A/1533	5920	7004
A/1534	5922	7006
A/1535	5920	7004
A/1536	5918	7002
A/1537	5922	7006
